player_name,market,line,odds_over,odds_under,game_date,team_abbr,opp_abbr,book
2544,PTS,,,,2025-12-13,LAL,,
2544,REB,,,,2025-12-13,LAL,,
2544,AST,,,,2025-12-13,LAL,,
2544,FG3M,,,,2025-12-13,LAL,,
2544,PRA,,,,2025-12-13,LAL,,
201142,PTS,,,,2025-12-13,HOU,,
201142,REB,,,,2025-12-13,HOU,,
201142,AST,,,,2025-12-13,HOU,,
201142,FG3M,,,,2025-12-13,HOU,,
201142,PRA,,,,2025-12-13,HOU,,
201566,PTS,,,,2025-12-13,SAC,,
201566,REB,,,,2025-12-13,SAC,,
201566,AST,,,,2025-12-13,SAC,,
201566,FG3M,,,,2025-12-13,SAC,,
201566,PRA,,,,2025-12-13,SAC,,
201935,PTS,,,,2025-12-13,LAC,,
201935,REB,,,,2025-12-13,LAC,,
201935,AST,,,,2025-12-13,LAC,,
201935,FG3M,,,,2025-12-13,LAC,,
201935,PRA,,,,2025-12-13,LAC,,
201939,PTS,,,,2025-12-13,GSW,,
201939,REB,,,,2025-12-13,GSW,,
201939,AST,,,,2025-12-13,GSW,,
201939,FG3M,,,,2025-12-13,GSW,,
201939,PRA,,,,2025-12-13,GSW,,
201942,PTS,,,,2025-12-13,SAC,,
201942,REB,,,,2025-12-13,SAC,,
201942,AST,,,,2025-12-13,SAC,,
201942,FG3M,,,,2025-12-13,SAC,,
201942,PRA,,,,2025-12-13,SAC,,
201950,PTS,,,,2025-12-13,POR,,
201950,REB,,,,2025-12-13,POR,,
201950,AST,,,,2025-12-13,POR,,
201950,FG3M,,,,2025-12-13,POR,,
201950,PRA,,,,2025-12-13,POR,,
202331,PTS,,,,2025-12-13,PHI,,
202331,REB,,,,2025-12-13,PHI,,
202331,AST,,,,2025-12-13,PHI,,
202331,FG3M,,,,2025-12-13,PHI,,
202331,PRA,,,,2025-12-13,PHI,,
202695,PTS,,,,2025-12-13,LAC,,
202695,REB,,,,2025-12-13,LAC,,
202695,AST,,,,2025-12-13,LAC,,
202695,FG3M,,,,2025-12-13,LAC,,
202695,PRA,,,,2025-12-13,LAC,,
202696,PTS,,,,2025-12-13,CHI,,
202696,REB,,,,2025-12-13,CHI,,
202696,AST,,,,2025-12-13,CHI,,
202696,FG3M,,,,2025-12-13,CHI,,
202696,PRA,,,,2025-12-13,CHI,,
202699,PTS,,,,2025-12-13,DET,,
202699,REB,,,,2025-12-13,DET,,
202699,AST,,,,2025-12-13,DET,,
202699,FG3M,,,,2025-12-13,DET,,
202699,PRA,,,,2025-12-13,DET,,
202710,PTS,,,,2025-12-13,GSW,,
202710,REB,,,,2025-12-13,GSW,,
202710,AST,,,,2025-12-13,GSW,,
202710,FG3M,,,,2025-12-13,GSW,,
202710,PRA,,,,2025-12-13,GSW,,
203076,PTS,,,,2025-12-13,DAL,,
203076,REB,,,,2025-12-13,DAL,,
203076,AST,,,,2025-12-13,DAL,,
203076,FG3M,,,,2025-12-13,DAL,,
203076,PRA,,,,2025-12-13,DAL,,
203084,PTS,,,,2025-12-13,SAS,,
203084,REB,,,,2025-12-13,SAS,,
203084,AST,,,,2025-12-13,SAS,,
203084,FG3M,,,,2025-12-13,SAS,,
203084,PRA,,,,2025-12-13,SAS,,
203110,PTS,,,,2025-12-13,GSW,,
203110,REB,,,,2025-12-13,GSW,,
203110,AST,,,,2025-12-13,GSW,,
203110,FG3M,,,,2025-12-13,GSW,,
203110,PRA,,,,2025-12-13,GSW,,
203114,PTS,,,,2025-12-13,WAS,,
203114,REB,,,,2025-12-13,WAS,,
203114,AST,,,,2025-12-13,WAS,,
203114,FG3M,,,,2025-12-13,WAS,,
203114,PRA,,,,2025-12-13,WAS,,
203468,PTS,,,,2025-12-13,WAS,,
203468,REB,,,,2025-12-13,WAS,,
203468,AST,,,,2025-12-13,WAS,,
203468,FG3M,,,,2025-12-13,WAS,,
203468,PRA,,,,2025-12-13,WAS,,
203471,PTS,,,,2025-12-13,SAC,,
203471,REB,,,,2025-12-13,SAC,,
203471,AST,,,,2025-12-13,SAC,,
203471,FG3M,,,,2025-12-13,SAC,,
203471,PRA,,,,2025-12-13,SAC,,
203497,PTS,,,,2025-12-13,MIN,,
203497,REB,,,,2025-12-13,MIN,,
203497,AST,,,,2025-12-13,MIN,,
203497,FG3M,,,,2025-12-13,MIN,,
203497,PRA,,,,2025-12-13,MIN,,
203507,PTS,,,,2025-12-13,MIL,,
203507,REB,,,,2025-12-13,MIL,,
203507,AST,,,,2025-12-13,MIL,,
203507,FG3M,,,,2025-12-13,MIL,,
203507,PRA,,,,2025-12-13,MIL,,
203897,PTS,,,,2025-12-13,SAC,,
203897,REB,,,,2025-12-13,SAC,,
203897,AST,,,,2025-12-13,SAC,,
203897,FG3M,,,,2025-12-13,SAC,,
203897,PRA,,,,2025-12-13,SAC,,
203924,PTS,,,,2025-12-13,POR,,
203924,REB,,,,2025-12-13,POR,,
203924,AST,,,,2025-12-13,POR,,
203924,FG3M,,,,2025-12-13,POR,,
203924,PRA,,,,2025-12-13,POR,,
203932,PTS,,,,2025-12-13,DEN,,
203932,REB,,,,2025-12-13,DEN,,
203932,AST,,,,2025-12-13,DEN,,
203932,FG3M,,,,2025-12-13,DEN,,
203932,PRA,,,,2025-12-13,DEN,,
203935,PTS,,,,2025-12-13,LAL,,
203935,REB,,,,2025-12-13,LAL,,
203935,AST,,,,2025-12-13,LAL,,
203935,FG3M,,,,2025-12-13,LAL,,
203935,PRA,,,,2025-12-13,LAL,,
203944,PTS,,,,2025-12-13,MIN,,
203944,REB,,,,2025-12-13,MIN,,
203944,AST,,,,2025-12-13,MIN,,
203944,FG3M,,,,2025-12-13,MIN,,
203944,PRA,,,,2025-12-13,MIN,,
203952,PTS,,,,2025-12-13,MIA,,
203952,REB,,,,2025-12-13,MIA,,
203952,AST,,,,2025-12-13,MIA,,
203952,FG3M,,,,2025-12-13,MIA,,
203952,PRA,,,,2025-12-13,MIA,,
203954,PTS,,,,2025-12-13,PHI,,
203954,REB,,,,2025-12-13,PHI,,
203954,AST,,,,2025-12-13,PHI,,
203954,FG3M,,,,2025-12-13,PHI,,
203954,PRA,,,,2025-12-13,PHI,,
203992,PTS,,,,2025-12-13,LAC,,
203992,REB,,,,2025-12-13,LAC,,
203992,AST,,,,2025-12-13,LAC,,
203992,FG3M,,,,2025-12-13,LAC,,
203992,PRA,,,,2025-12-13,LAC,,
203999,PTS,,,,2025-12-13,DEN,,
203999,REB,,,,2025-12-13,DEN,,
203999,AST,,,,2025-12-13,DEN,,
203999,FG3M,,,,2025-12-13,DEN,,
203999,PRA,,,,2025-12-13,DEN,,
204001,PTS,,,,2025-12-13,ATL,,
204001,REB,,,,2025-12-13,ATL,,
204001,AST,,,,2025-12-13,ATL,,
204001,FG3M,,,,2025-12-13,ATL,,
204001,PRA,,,,2025-12-13,ATL,,
1626157,PTS,,,,2025-12-13,NYK,,
1626157,REB,,,,2025-12-13,NYK,,
1626157,AST,,,,2025-12-13,NYK,,
1626157,FG3M,,,,2025-12-13,NYK,,
1626157,PRA,,,,2025-12-13,NYK,,
1626162,PTS,,,,2025-12-13,PHI,,
1626162,REB,,,,2025-12-13,PHI,,
1626162,AST,,,,2025-12-13,PHI,,
1626162,FG3M,,,,2025-12-13,PHI,,
1626162,PRA,,,,2025-12-13,PHI,,
1626164,PTS,,,,2025-12-13,PHX,,
1626164,REB,,,,2025-12-13,PHX,,
1626164,AST,,,,2025-12-13,PHX,,
1626164,FG3M,,,,2025-12-13,PHX,,
1626164,PRA,,,,2025-12-13,PHX,,
1626167,PTS,,,,2025-12-13,MIL,,
1626167,REB,,,,2025-12-13,MIL,,
1626167,AST,,,,2025-12-13,MIL,,
1626167,FG3M,,,,2025-12-13,MIL,,
1626167,PRA,,,,2025-12-13,MIL,,
1626181,PTS,,,,2025-12-13,MIA,,
1626181,REB,,,,2025-12-13,MIA,,
1626181,AST,,,,2025-12-13,MIA,,
1626181,FG3M,,,,2025-12-13,MIA,,
1626181,PRA,,,,2025-12-13,MIA,,
1626220,PTS,,,,2025-12-13,PHX,,
1626220,REB,,,,2025-12-13,PHX,,
1626220,AST,,,,2025-12-13,PHX,,
1626220,FG3M,,,,2025-12-13,PHX,,
1626220,PRA,,,,2025-12-13,PHX,,
1627734,PTS,,,,2025-12-13,SAC,,
1627734,REB,,,,2025-12-13,SAC,,
1627734,AST,,,,2025-12-13,SAC,,
1627734,FG3M,,,,2025-12-13,SAC,,
1627734,PRA,,,,2025-12-13,SAC,,
1627739,PTS,,,,2025-12-13,LAC,,
1627739,REB,,,,2025-12-13,LAC,,
1627739,AST,,,,2025-12-13,LAC,,
1627739,FG3M,,,,2025-12-13,LAC,,
1627739,PRA,,,,2025-12-13,LAC,,
1627742,PTS,,,,2025-12-13,TOR,,
1627742,REB,,,,2025-12-13,TOR,,
1627742,AST,,,,2025-12-13,TOR,,
1627742,FG3M,,,,2025-12-13,TOR,,
1627742,PRA,,,,2025-12-13,TOR,,
1627750,PTS,,,,2025-12-13,DEN,,
1627750,REB,,,,2025-12-13,DEN,,
1627750,AST,,,,2025-12-13,DEN,,
1627750,FG3M,,,,2025-12-13,DEN,,
1627750,PRA,,,,2025-12-13,DEN,,
1627751,PTS,,,,2025-12-13,TOR,,
1627751,REB,,,,2025-12-13,TOR,,
1627751,AST,,,,2025-12-13,TOR,,
1627751,FG3M,,,,2025-12-13,TOR,,
1627751,PRA,,,,2025-12-13,TOR,,
1627759,PTS,,,,2025-12-13,BOS,,
1627759,REB,,,,2025-12-13,BOS,,
1627759,AST,,,,2025-12-13,BOS,,
1627759,FG3M,,,,2025-12-13,BOS,,
1627759,PRA,,,,2025-12-13,BOS,,
1627783,PTS,,,,2025-12-13,IND,,
1627783,REB,,,,2025-12-13,IND,,
1627783,AST,,,,2025-12-13,IND,,
1627783,FG3M,,,,2025-12-13,IND,,
1627783,PRA,,,,2025-12-13,IND,,
1627826,PTS,,,,2025-12-13,LAC,,
1627826,REB,,,,2025-12-13,LAC,,
1627826,AST,,,,2025-12-13,LAC,,
1627826,FG3M,,,,2025-12-13,LAC,,
1627826,PRA,,,,2025-12-13,LAC,,
1628368,PTS,,,,2025-12-13,SAS,,
1628368,REB,,,,2025-12-13,SAS,,
1628368,AST,,,,2025-12-13,SAS,,
1628368,FG3M,,,,2025-12-13,SAS,,
1628368,PRA,,,,2025-12-13,SAS,,
1628374,PTS,,,,2025-12-13,UTA,,
1628374,REB,,,,2025-12-13,UTA,,
1628374,AST,,,,2025-12-13,UTA,,
1628374,FG3M,,,,2025-12-13,UTA,,
1628374,PRA,,,,2025-12-13,UTA,,
1628378,PTS,,,,2025-12-13,CLE,,
1628378,REB,,,,2025-12-13,CLE,,
1628378,AST,,,,2025-12-13,CLE,,
1628378,FG3M,,,,2025-12-13,CLE,,
1628378,PRA,,,,2025-12-13,CLE,,
1628381,PTS,,,,2025-12-13,LAC,,
1628381,REB,,,,2025-12-13,LAC,,
1628381,AST,,,,2025-12-13,LAC,,
1628381,FG3M,,,,2025-12-13,LAC,,
1628381,PRA,,,,2025-12-13,LAC,,
1628384,PTS,,,,2025-12-13,NYK,,
1628384,REB,,,,2025-12-13,NYK,,
1628384,AST,,,,2025-12-13,NYK,,
1628384,FG3M,,,,2025-12-13,NYK,,
1628384,PRA,,,,2025-12-13,NYK,,
1628386,PTS,,,,2025-12-13,CLE,,
1628386,REB,,,,2025-12-13,CLE,,
1628386,AST,,,,2025-12-13,CLE,,
1628386,FG3M,,,,2025-12-13,CLE,,
1628386,PRA,,,,2025-12-13,CLE,,
1628389,PTS,,,,2025-12-13,MIA,,
1628389,REB,,,,2025-12-13,MIA,,
1628389,AST,,,,2025-12-13,MIA,,
1628389,FG3M,,,,2025-12-13,MIA,,
1628389,PRA,,,,2025-12-13,MIA,,
1628392,PTS,,,,2025-12-13,OKC,,
1628392,REB,,,,2025-12-13,OKC,,
1628392,AST,,,,2025-12-13,OKC,,
1628392,FG3M,,,,2025-12-13,OKC,,
1628392,PRA,,,,2025-12-13,OKC,,
1628398,PTS,,,,2025-12-13,MIL,,
1628398,REB,,,,2025-12-13,MIL,,
1628398,AST,,,,2025-12-13,MIL,,
1628398,FG3M,,,,2025-12-13,MIL,,
1628398,PRA,,,,2025-12-13,MIL,,
1628401,PTS,,,,2025-12-13,BOS,,
1628401,REB,,,,2025-12-13,BOS,,
1628401,AST,,,,2025-12-13,BOS,,
1628401,FG3M,,,,2025-12-13,BOS,,
1628401,PRA,,,,2025-12-13,BOS,,
1628404,PTS,,,,2025-12-13,NYK,,
1628404,REB,,,,2025-12-13,NYK,,
1628404,AST,,,,2025-12-13,NYK,,
1628404,FG3M,,,,2025-12-13,NYK,,
1628404,PRA,,,,2025-12-13,NYK,,
1628415,PTS,,,,2025-12-13,PHX,,
1628415,REB,,,,2025-12-13,PHX,,
1628415,AST,,,,2025-12-13,PHX,,
1628415,FG3M,,,,2025-12-13,PHX,,
1628415,PRA,,,,2025-12-13,PHX,,
1628436,PTS,,,,2025-12-13,SAS,,
1628436,REB,,,,2025-12-13,SAS,,
1628436,AST,,,,2025-12-13,SAS,,
1628436,FG3M,,,,2025-12-13,SAS,,
1628436,PRA,,,,2025-12-13,SAS,,
1628960,PTS,,,,2025-12-13,PHX,,
1628960,REB,,,,2025-12-13,PHX,,
1628960,AST,,,,2025-12-13,PHX,,
1628960,FG3M,,,,2025-12-13,PHX,,
1628960,PRA,,,,2025-12-13,PHX,,
1628969,PTS,,,,2025-12-13,NYK,,
1628969,REB,,,,2025-12-13,NYK,,
1628969,AST,,,,2025-12-13,NYK,,
1628969,FG3M,,,,2025-12-13,NYK,,
1628969,PRA,,,,2025-12-13,NYK,,
1628970,PTS,,,,2025-12-13,CHA,,
1628970,REB,,,,2025-12-13,CHA,,
1628970,AST,,,,2025-12-13,CHA,,
1628970,FG3M,,,,2025-12-13,CHA,,
1628970,PRA,,,,2025-12-13,CHA,,
1628973,PTS,,,,2025-12-13,NYK,,
1628973,REB,,,,2025-12-13,NYK,,
1628973,AST,,,,2025-12-13,NYK,,
1628973,FG3M,,,,2025-12-13,NYK,,
1628973,PRA,,,,2025-12-13,NYK,,
1628976,PTS,,,,2025-12-13,ORL,,
1628976,REB,,,,2025-12-13,ORL,,
1628976,AST,,,,2025-12-13,ORL,,
1628976,FG3M,,,,2025-12-13,ORL,,
1628976,PRA,,,,2025-12-13,ORL,,
1628978,PTS,,,,2025-12-13,MIN,,
1628978,REB,,,,2025-12-13,MIN,,
1628978,AST,,,,2025-12-13,MIN,,
1628978,FG3M,,,,2025-12-13,MIN,,
1628978,PRA,,,,2025-12-13,MIN,,
1628983,PTS,,,,2025-12-13,OKC,,
1628983,REB,,,,2025-12-13,OKC,,
1628983,AST,,,,2025-12-13,OKC,,
1628983,FG3M,,,,2025-12-13,OKC,,
1628983,PRA,,,,2025-12-13,OKC,,
1628991,PTS,,,,2025-12-13,MEM,,
1628991,REB,,,,2025-12-13,MEM,,
1628991,AST,,,,2025-12-13,MEM,,
1628991,FG3M,,,,2025-12-13,MEM,,
1628991,PRA,,,,2025-12-13,MEM,,
1629004,PTS,,,,2025-12-13,UTA,,
1629004,REB,,,,2025-12-13,UTA,,
1629004,AST,,,,2025-12-13,UTA,,
1629004,FG3M,,,,2025-12-13,UTA,,
1629004,PRA,,,,2025-12-13,UTA,,
1629008,PTS,,,,2025-12-13,BKN,,
1629008,REB,,,,2025-12-13,BKN,,
1629008,AST,,,,2025-12-13,BKN,,
1629008,FG3M,,,,2025-12-13,BKN,,
1629008,PRA,,,,2025-12-13,BKN,,
1629012,PTS,,,,2025-12-13,CHA,,
1629012,REB,,,,2025-12-13,CHA,,
1629012,AST,,,,2025-12-13,CHA,,
1629012,FG3M,,,,2025-12-13,CHA,,
1629012,PRA,,,,2025-12-13,CHA,,
1629018,PTS,,,,2025-12-13,MIL,,
1629018,REB,,,,2025-12-13,MIL,,
1629018,AST,,,,2025-12-13,MIL,,
1629018,FG3M,,,,2025-12-13,MIL,,
1629018,PRA,,,,2025-12-13,MIL,,
1629023,PTS,,,,2025-12-13,DAL,,
1629023,REB,,,,2025-12-13,DAL,,
1629023,AST,,,,2025-12-13,DAL,,
1629023,FG3M,,,,2025-12-13,DAL,,
1629023,PRA,,,,2025-12-13,DAL,,
1629027,PTS,,,,2025-12-13,ATL,,
1629027,REB,,,,2025-12-13,ATL,,
1629027,AST,,,,2025-12-13,ATL,,
1629027,FG3M,,,,2025-12-13,ATL,,
1629027,PRA,,,,2025-12-13,ATL,,
1629028,PTS,,,,2025-12-13,LAL,,
1629028,REB,,,,2025-12-13,LAL,,
1629028,AST,,,,2025-12-13,LAL,,
1629028,FG3M,,,,2025-12-13,LAL,,
1629028,PRA,,,,2025-12-13,LAL,,
1629029,PTS,,,,2025-12-13,LAL,,
1629029,REB,,,,2025-12-13,LAL,,
1629029,AST,,,,2025-12-13,LAL,,
1629029,FG3M,,,,2025-12-13,LAL,,
1629029,PRA,,,,2025-12-13,LAL,,
1629060,PTS,,,,2025-12-13,LAL,,
1629060,REB,,,,2025-12-13,LAL,,
1629060,AST,,,,2025-12-13,LAL,,
1629060,FG3M,,,,2025-12-13,LAL,,
1629060,PRA,,,,2025-12-13,LAL,,
1629130,PTS,,,,2025-12-13,DET,,
1629130,REB,,,,2025-12-13,DET,,
1629130,AST,,,,2025-12-13,DET,,
1629130,FG3M,,,,2025-12-13,DET,,
1629130,PRA,,,,2025-12-13,DET,,
1629611,PTS,,,,2025-12-13,BKN,,
1629611,REB,,,,2025-12-13,BKN,,
1629611,AST,,,,2025-12-13,BKN,,
1629611,FG3M,,,,2025-12-13,BKN,,
1629611,PRA,,,,2025-12-13,BKN,,
1629614,PTS,,,,2025-12-13,IND,,
1629614,REB,,,,2025-12-13,IND,,
1629614,AST,,,,2025-12-13,IND,,
1629614,FG3M,,,,2025-12-13,IND,,
1629614,PRA,,,,2025-12-13,IND,,
1629627,PTS,,,,2025-12-13,NOP,,
1629627,REB,,,,2025-12-13,NOP,,
1629627,AST,,,,2025-12-13,NOP,,
1629627,FG3M,,,,2025-12-13,NOP,,
1629627,PRA,,,,2025-12-13,NOP,,
1629628,PTS,,,,2025-12-13,TOR,,
1629628,REB,,,,2025-12-13,TOR,,
1629628,AST,,,,2025-12-13,TOR,,
1629628,FG3M,,,,2025-12-13,TOR,,
1629628,PRA,,,,2025-12-13,TOR,,
1629630,PTS,,,,2025-12-13,MEM,,
1629630,REB,,,,2025-12-13,MEM,,
1629630,AST,,,,2025-12-13,MEM,,
1629630,FG3M,,,,2025-12-13,MEM,,
1629630,PRA,,,,2025-12-13,MEM,,
1629631,PTS,,,,2025-12-13,CLE,,
1629631,REB,,,,2025-12-13,CLE,,
1629631,AST,,,,2025-12-13,CLE,,
1629631,FG3M,,,,2025-12-13,CLE,,
1629631,PRA,,,,2025-12-13,CLE,,
1629632,PTS,,,,2025-12-13,CHI,,
1629632,REB,,,,2025-12-13,CHI,,
1629632,AST,,,,2025-12-13,CHI,,
1629632,FG3M,,,,2025-12-13,CHI,,
1629632,PRA,,,,2025-12-13,CHI,,
1629636,PTS,,,,2025-12-13,CLE,,
1629636,REB,,,,2025-12-13,CLE,,
1629636,AST,,,,2025-12-13,CLE,,
1629636,FG3M,,,,2025-12-13,CLE,,
1629636,PRA,,,,2025-12-13,CLE,,
1629638,PTS,,,,2025-12-13,ATL,,
1629638,REB,,,,2025-12-13,ATL,,
1629638,AST,,,,2025-12-13,ATL,,
1629638,FG3M,,,,2025-12-13,ATL,,
1629638,PRA,,,,2025-12-13,ATL,,
1629639,PTS,,,,2025-12-13,MIA,,
1629639,REB,,,,2025-12-13,MIA,,
1629639,AST,,,,2025-12-13,MIA,,
1629639,FG3M,,,,2025-12-13,MIA,,
1629639,PRA,,,,2025-12-13,MIA,,
1629645,PTS,,,,2025-12-13,MIL,,
1629645,REB,,,,2025-12-13,MIL,,
1629645,AST,,,,2025-12-13,MIL,,
1629645,FG3M,,,,2025-12-13,MIL,,
1629645,PRA,,,,2025-12-13,MIL,,
1629651,PTS,,,,2025-12-13,BKN,,
1629651,REB,,,,2025-12-13,BKN,,
1629651,AST,,,,2025-12-13,BKN,,
1629651,FG3M,,,,2025-12-13,BKN,,
1629651,PRA,,,,2025-12-13,BKN,,
1629652,PTS,,,,2025-12-13,OKC,,
1629652,REB,,,,2025-12-13,OKC,,
1629652,AST,,,,2025-12-13,OKC,,
1629652,FG3M,,,,2025-12-13,OKC,,
1629652,PRA,,,,2025-12-13,OKC,,
1629656,PTS,,,,2025-12-13,PHI,,
1629656,REB,,,,2025-12-13,PHI,,
1629656,AST,,,,2025-12-13,PHI,,
